Age,Gender,Province,Education,Vote_choice,cell
25 to 34,Female,Alberta,Bachelor's degree or above,Conservative Party,Female 25 to 34
55 to 64,Male,British Columbia,Some university,Conservative Party,Male 55 to 64
45 to 54,Male,Manitoba,Bachelor's degree or above,Conservative Party,Male 45 to 54
45 to 54,Female,Ontario,High school,Conservative Party,Female 45 to 54
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
45 to 54,Male,Quebec,College,Liberal Party,Male 45 to 54
45 to 54,Male,Ontario,Some university,Liberal Party,Male 45 to 54
35 to 44,Female,Saskatchewan,High school,Conservative Party,Female 35 to 44
25 to 34,Female,Alberta,College,Conservative Party,Female 25 to 34
35 to 44,Male,Alberta,College,Conservative Party,Male 35 to 44
55 to 64,Male,British Columbia,College,Conservative Party,Male 55 to 64
55 to 64,Female,Alberta,High school,Conservative Party,Female 55 to 64
55 to 64,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 55 to 64
35 to 44,Female,Saskatchewan,College,Conservative Party,Female 35 to 44
55 to 64,Female,Manitoba,Bachelor's degree or above,Liberal Party,Female 55 to 64
45 to 54,Female,Ontario,College,Conservative Party,Female 45 to 54
55 to 64,Male,Ontario,Some university,Conservative Party,Male 55 to 64
55 to 64,Female,Quebec,Bachelor's degree or above,Conservative Party,Female 55 to 64
45 to 54,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 45 to 54
35 to 44,Male,British Columbia,Bachelor's degree or above,Conservative Party,Male 35 to 44
55 to 64,Male,Ontario,Some university,Liberal Party,Male 55 to 64
45 to 54,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 45 to 54
25 to 34,Female,Quebec,College,Conservative Party,Female 25 to 34
35 to 44,Male,Alberta,Bachelor's degree or above,Liberal Party,Male 35 to 44
55 to 64,Male,Quebec,Bachelor's degree or above,Conservative Party,Male 55 to 64
35 to 44,Female,Alberta,College,Conservative Party,Female 35 to 44
45 to 54,Female,British Columbia,Bachelor's degree or above,Liberal Party,Female 45 to 54
55 to 64,Female,Alberta,College,Liberal Party,Female 55 to 64
45 to 54,Female,Ontario,College,Liberal Party,Female 45 to 54
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
45 to 54,Male,Saskatchewan,Bachelor's degree or above,Conservative Party,Male 45 to 54
55 to 64,Female,Ontario,High school,Conservative Party,Female 55 to 64
55 to 64,Male,Manitoba,College,Conservative Party,Male 55 to 64
55 to 64,Male,British Columbia,High school,Conservative Party,Male 55 to 64
55 to 64,Male,Alberta,High school,Conservative Party,Male 55 to 64
55 to 64,Male,British Columbia,Bachelor's degree or above,Liberal Party,Male 55 to 64
35 to 44,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 35 to 44
55 to 64,Male,Ontario,High school,Conservative Party,Male 55 to 64
25 to 34,Male,Quebec,College,Conservative Party,Male 25 to 34
45 to 54,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 45 to 54
45 to 54,Female,British Columbia,College,Liberal Party,Female 45 to 54
55 to 64,Male,Ontario,College,Conservative Party,Male 55 to 64
45 to 54,Female,Alberta,Some university,Conservative Party,Female 45 to 54
35 to 44,Female,Ontario,Bachelor's degree or above,Conservative Party,Female 35 to 44
55 to 64,Male,Alberta,College,Conservative Party,Male 55 to 64
25 to 34,Female,British Columbia,High school,Conservative Party,Female 25 to 34
25 to 34,Female,British Columbia,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Male,Ontario,College,Conservative Party,Male 25 to 34
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Female,Prince Edward Island,Bachelor's degree or above,Liberal Party,Female 25 to 34
35 to 44,Female,British Columbia,Bachelor's degree or above,Liberal Party,Female 35 to 44
25 to 34,Female,Ontario,College,Liberal Party,Female 25 to 34
25 to 34,Male,Manitoba,Bachelor's degree or above,Conservative Party,Male 25 to 34
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Female,Ontario,High school,Liberal Party,Female 25 to 34
25 to 34,Female,British Columbia,Bachelor's degree or above,Conservative Party,Female 25 to 34
25 to 34,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 25 to 34
55 to 64,Female,Saskatchewan,High school,Conservative Party,Female 55 to 64
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
45 to 54,Female,Alberta,Bachelor's degree or above,Conservative Party,Female 45 to 54
45 to 54,Female,Ontario,High school,Liberal Party,Female 45 to 54
55 to 64,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 55 to 64
55 to 64,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 55 to 64
45 to 54,Female,Alberta,Bachelor's degree or above,Conservative Party,Female 45 to 54
35 to 44,Female,Quebec,High school,Conservative Party,Female 35 to 44
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
25 to 34,Female,British Columbia,Some university,Conservative Party,Female 25 to 34
35 to 44,Male,Quebec,College,Liberal Party,Male 35 to 44
55 to 64,Female,Ontario,High school,Conservative Party,Female 55 to 64
25 to 34,Female,Ontario,Bachelor's degree or above,Conservative Party,Female 25 to 34
25 to 34,Male,Ontario,College,Liberal Party,Male 25 to 34
45 to 54,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 45 to 54
25 to 34,Female,Ontario,High school,Liberal Party,Female 25 to 34
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
45 to 54,Female,Ontario,College,Liberal Party,Female 45 to 54
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
25 to 34,Female,Ontario,Some university,Conservative Party,Female 25 to 34
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
45 to 54,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 45 to 54
35 to 44,Female,Saskatchewan,College,Conservative Party,Female 35 to 44
45 to 54,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 45 to 54
55 to 64,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 55 to 64
25 to 34,Male,Ontario,Some university,Liberal Party,Male 25 to 34
25 to 34,Female,Alberta,Bachelor's degree or above,Conservative Party,Female 25 to 34
25 to 34,Male,British Columbia,High school,Conservative Party,Male 25 to 34
25 to 34,Female,Quebec,High school,Liberal Party,Female 25 to 34
35 to 44,Male,Ontario,College,Conservative Party,Male 35 to 44
25 to 34,Male,Manitoba,Bachelor's degree or above,Conservative Party,Male 25 to 34
35 to 44,Male,Quebec,Bachelor's degree or above,Liberal Party,Male 35 to 44
35 to 44,Female,Ontario,Some university,Liberal Party,Female 35 to 44
35 to 44,Female,Manitoba,Bachelor's degree or above,Liberal Party,Female 35 to 44
55 to 64,Female,Saskatchewan,High school,Conservative Party,Female 55 to 64
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
25 to 34,Male,Alberta,Some university,Conservative Party,Male 25 to 34
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
55 to 64,Female,Alberta,High school,Conservative Party,Female 55 to 64
55 to 64,Male,Ontario,High school,Conservative Party,Male 55 to 64
45 to 54,Male,Manitoba,High school,Conservative Party,Male 45 to 54
45 to 54,Male,British Columbia,High school,Conservative Party,Male 45 to 54
55 to 64,Male,Ontario,High school,Conservative Party,Male 55 to 64
45 to 54,Female,Saskatchewan,Bachelor's degree or above,Liberal Party,Female 45 to 54
25 to 34,Female,Quebec,Some university,Liberal Party,Female 25 to 34
25 to 34,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 25 to 34
25 to 34,Female,British Columbia,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Male,Alberta,College,Liberal Party,Male 25 to 34
45 to 54,Female,Saskatchewan,Some university,Conservative Party,Female 45 to 54
45 to 54,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 45 to 54
45 to 54,Male,Quebec,High school,Liberal Party,Male 45 to 54
45 to 54,Female,Quebec,Some university,Liberal Party,Female 45 to 54
45 to 54,Female,Quebec,Some university,Liberal Party,Female 45 to 54
25 to 34,Male,Ontario,High school,Conservative Party,Male 25 to 34
25 to 34,Male,New Brunswick,High school,Conservative Party,Male 25 to 34
45 to 54,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 45 to 54
35 to 44,Male,Ontario,High school,Liberal Party,Male 35 to 44
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
35 to 44,Male,Quebec,Bachelor's degree or above,Liberal Party,Male 35 to 44
45 to 54,Female,Ontario,High school,Liberal Party,Female 45 to 54
35 to 44,Female,Quebec,Bachelor's degree or above,Conservative Party,Female 35 to 44
45 to 54,Female,Alberta,College,Conservative Party,Female 45 to 54
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
35 to 44,Male,Alberta,High school,Conservative Party,Male 35 to 44
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Female,Saskatchewan,Bachelor's degree or above,Conservative Party,Female 25 to 34
25 to 34,Male,Ontario,High school,Liberal Party,Male 25 to 34
35 to 44,Female,Alberta,College,Conservative Party,Female 35 to 44
25 to 34,Male,New Brunswick,Bachelor's degree or above,Liberal Party,Male 25 to 34
55 to 64,Female,Ontario,College,Liberal Party,Female 55 to 64
45 to 54,Male,British Columbia,High school,Liberal Party,Male 45 to 54
25 to 34,Female,Ontario,College,Conservative Party,Female 25 to 34
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
25 to 34,Male,Nova Scotia,Some university,Liberal Party,Male 25 to 34
35 to 44,Female,British Columbia,High school,Conservative Party,Female 35 to 44
35 to 44,Female,Ontario,High school,Conservative Party,Female 35 to 44
45 to 54,Male,British Columbia,High school,Liberal Party,Male 45 to 54
25 to 34,Male,Ontario,High school,Liberal Party,Male 25 to 34
45 to 54,Female,Alberta,High school,Conservative Party,Female 45 to 54
35 to 44,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 35 to 44
25 to 34,Female,British Columbia,Bachelor's degree or above,Liberal Party,Female 25 to 34
45 to 54,Female,Ontario,College,Liberal Party,Female 45 to 54
25 to 34,Male,Ontario,Some university,Conservative Party,Male 25 to 34
35 to 44,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 35 to 44
45 to 54,Male,Quebec,Some university,Liberal Party,Male 45 to 54
35 to 44,Female,Ontario,Bachelor's degree or above,Conservative Party,Female 35 to 44
25 to 34,Female,Ontario,High school,Conservative Party,Female 25 to 34
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
55 to 64,Female,Manitoba,College,Conservative Party,Female 55 to 64
55 to 64,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 55 to 64
25 to 34,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 25 to 34
35 to 44,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 35 to 44
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
35 to 44,Male,Alberta,College,Conservative Party,Male 35 to 44
25 to 34,Female,Ontario,High school,Liberal Party,Female 25 to 34
25 to 34,Female,British Columbia,High school,Liberal Party,Female 25 to 34
35 to 44,Female,Saskatchewan,Bachelor's degree or above,Conservative Party,Female 35 to 44
45 to 54,Male,Ontario,College,Liberal Party,Male 45 to 54
35 to 44,Male,Ontario,Some university,Liberal Party,Male 35 to 44
35 to 44,Male,Ontario,High school,Conservative Party,Male 35 to 44
25 to 34,Male,Ontario,High school,Conservative Party,Male 25 to 34
45 to 54,Male,Alberta,High school,Liberal Party,Male 45 to 54
55 to 64,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 55 to 64
55 to 64,Male,Ontario,High school,Liberal Party,Male 55 to 64
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
55 to 64,Male,Saskatchewan,High school,Conservative Party,Male 55 to 64
35 to 44,Male,Manitoba,High school,Conservative Party,Male 35 to 44
35 to 44,Male,Ontario,High school,Conservative Party,Male 35 to 44
55 to 64,Female,Ontario,Some university,Conservative Party,Female 55 to 64
25 to 34,Female,Ontario,High school,Liberal Party,Female 25 to 34
25 to 34,Male,Ontario,High school,Conservative Party,Male 25 to 34
25 to 34,Male,British Columbia,High school,Conservative Party,Male 25 to 34
45 to 54,Male,Quebec,College,Liberal Party,Male 45 to 54
35 to 44,Female,British Columbia,College,Liberal Party,Female 35 to 44
35 to 44,Male,Ontario,High school,Liberal Party,Male 35 to 44
25 to 34,Male,Quebec,Bachelor's degree or above,Liberal Party,Male 25 to 34
35 to 44,Female,Ontario,High school,Conservative Party,Female 35 to 44
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
55 to 64,Male,Ontario,High school,Liberal Party,Male 55 to 64
45 to 54,Male,Alberta,College,Liberal Party,Male 45 to 54
25 to 34,Male,Quebec,College,Conservative Party,Male 25 to 34
45 to 54,Male,British Columbia,Bachelor's degree or above,Liberal Party,Male 45 to 54
25 to 34,Male,Saskatchewan,Bachelor's degree or above,Liberal Party,Male 25 to 34
25 to 34,Male,Ontario,High school,Conservative Party,Male 25 to 34
35 to 44,Male,Newfoundland and Labrador,Some university,Conservative Party,Male 35 to 44
35 to 44,Male,Manitoba,High school,Liberal Party,Male 35 to 44
35 to 44,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 35 to 44
55 to 64,Male,Manitoba,College,Conservative Party,Male 55 to 64
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
45 to 54,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 45 to 54
55 to 64,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 55 to 64
55 to 64,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 55 to 64
45 to 54,Male,Ontario,College,Conservative Party,Male 45 to 54
45 to 54,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 45 to 54
35 to 44,Female,Ontario,Some university,Conservative Party,Female 35 to 44
55 to 64,Female,Ontario,High school,Liberal Party,Female 55 to 64
45 to 54,Female,Newfoundland and Labrador,High school,Liberal Party,Female 45 to 54
35 to 44,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 35 to 44
35 to 44,Female,Ontario,College,Liberal Party,Female 35 to 44
35 to 44,Female,Alberta,College,Conservative Party,Female 35 to 44
55 to 64,Male,New Brunswick,High school,Conservative Party,Male 55 to 64
25 to 34,Male,British Columbia,High school,Conservative Party,Male 25 to 34
25 to 34,Female,Ontario,College,Conservative Party,Female 25 to 34
25 to 34,Female,Ontario,College,Conservative Party,Female 25 to 34
35 to 44,Female,Saskatchewan,College,Liberal Party,Female 35 to 44
45 to 54,Male,Manitoba,High school,Conservative Party,Male 45 to 54
25 to 34,Female,New Brunswick,Bachelor's degree or above,Conservative Party,Female 25 to 34
35 to 44,Female,Quebec,Some university,Liberal Party,Female 35 to 44
55 to 64,Female,Ontario,College,Liberal Party,Female 55 to 64
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
25 to 34,Male,Quebec,Some university,Liberal Party,Male 25 to 34
55 to 64,Male,Alberta,Some university,Conservative Party,Male 55 to 64
45 to 54,Female,Alberta,College,Conservative Party,Female 45 to 54
35 to 44,Female,New Brunswick,Bachelor's degree or above,Conservative Party,Female 35 to 44
35 to 44,Male,Ontario,College,Liberal Party,Male 35 to 44
55 to 64,Male,Alberta,College,Liberal Party,Male 55 to 64
55 to 64,Female,Alberta,High school,Conservative Party,Female 55 to 64
25 to 34,Female,Ontario,High school,Liberal Party,Female 25 to 34
45 to 54,Male,British Columbia,Bachelor's degree or above,Conservative Party,Male 45 to 54
35 to 44,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 35 to 44
55 to 64,Female,Ontario,Bachelor's degree or above,Conservative Party,Female 55 to 64
55 to 64,Female,Quebec,High school,Liberal Party,Female 55 to 64
45 to 54,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 45 to 54
25 to 34,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 25 to 34
